N,forward,backward,random
2.76562,8,8,8
2.76953,8,8,8
2.77344,8,8,8
2.77734,8,8,8
2.78125,8,8,8
2.78516,8,8,8
2.78906,8,8,8
2.79297,8,8,8
2.79688,8,8,8
2.80078,8,8,8
2.80469,8,8,8
2.80859,8,8,8
2.8125,8,8,8
2.81641,8,8,8
2.82031,8,8,8
2.82422,8,8,8
2.82812,8,8,8
2.83203,8,8,8
2.83594,8,8,8
2.83984,8,8,8
2.84375,8,8,8
2.84766,8,8,8
2.85156,8,8,8
2.85547,8,8,8
2.85938,8,8,8
2.86328,8,8,8
2.86719,8,8,8
2.87109,8,8,8
2.875,8,8,8
2.87891,9,9,8
2.88281,8,8,8
2.88672,8,8,8
2.89062,8,8,8
2.89453,8,8,8
2.89844,8,8,8
2.90234,8,8,8
2.90625,8,8,8
2.91016,8,8,8
2.91406,8,8,8
2.91797,8,8,8
2.92188,8,8,8
2.92578,8,8,8
2.92969,8,8,8
2.93359,8,8,8
2.9375,8,8,8
2.94141,8,8,8
2.94531,8,8,8
2.94922,8,8,8
2.95312,8,8,8
2.95703,8,8,8
2.96094,8,8,8
2.96484,8,8,8
2.96875,8,8,8
2.97266,8,8,8
2.97656,8,8,8
2.98047,8,8,8
2.98438,8,8,8
2.98828,8,8,8
2.99219,8,8,8
2.99609,8,8,8
3,8,8,8
3.00391,8,8,8
3.00781,8,8,8
3.01172,8,8,8
3.01562,8,8,8
3.01953,8,8,8
3.02344,8,8,8
3.02734,8,8,8
3.03125,8,8,8
3.03516,8,8,8
3.03906,8,8,8
3.04297,8,8,8
3.04688,8,8,8
3.05078,8,8,8
3.05469,8,8,8
3.05859,8,8,8
3.0625,8,8,8
3.06641,8,8,8
3.07031,8,8,8
3.07422,8,8,8
3.07812,8,8,8
3.08203,8,8,8
3.08594,8,8,8
3.08984,8,8,8
3.09375,8,8,8
3.09766,8,8,8
3.10156,9,9,8
3.10547,8,8,8
3.10938,8,8,8
3.11328,8,8,8
3.11719,8,9,8
3.12109,8,8,8
3.125,8,8,8
3.12891,8,8,8
3.13281,8,8,8
3.13672,8,8,8
3.14062,8,8,8
3.14453,8,8,8
3.14844,8,8,8
3.15234,8,8,8
3.15625,8,8,8
3.16016,8,8,8
3.16406,8,8,8
3.16797,8,8,8
3.17188,8,8,8
3.17578,8,8,8
3.17969,8,8,8
3.18359,8,8,8
3.1875,8,8,8
3.19141,9,9,8
3.19531,8,8,8
3.19922,8,8,8
3.20312,8,8,8
3.20703,8,8,8
3.21094,8,8,8
3.21484,8,8,8
3.21875,8,8,8
3.22266,8,8,8
3.22656,8,8,8
3.23047,8,8,8
3.23438,8,8,8
3.23828,8,8,8
3.24219,8,8,8
3.24609,8,8,8
3.25,8,8,8
3.25391,8,8,8
3.25781,8,8,8
3.26172,8,8,8
3.26562,8,8,8
3.26953,8,8,8
3.27344,8,8,8
3.27734,8,8,8
3.28125,8,8,8
3.28516,8,8,8
3.28906,8,8,8
3.29297,8,8,8
3.29688,8,8,8
3.30078,8,8,8
3.30469,8,8,8
3.30859,8,8,8
3.3125,8,8,8
3.31641,8,8,8
3.32031,8,8,8
3.32422,8,8,8
3.32812,8,8,8
3.33203,8,8,8
3.33594,8,8,8
3.33984,8,8,8
3.34375,8,8,8
3.34766,8,8,8
3.35156,8,8,8
3.35547,8,8,8
3.35938,8,8,8
3.36328,8,8,8
3.36719,8,8,8
3.37109,8,8,8
3.375,8,8,8
3.37891,8,8,8
3.38281,9,8,8
3.38672,8,8,8
3.39062,8,8,8
3.39453,8,8,8
3.39844,8,8,8
3.40234,8,8,8
3.40625,8,8,8
3.41016,8,8,8
3.41406,8,8,8
3.41797,8,8,8
3.42188,8,8,8
3.42578,8,8,8
3.42969,8,8,8
3.43359,8,8,8
3.4375,8,8,8
3.44141,8,8,8
3.44531,8,8,8
3.44922,8,8,8
3.45312,8,8,8
3.45703,8,8,8
3.46094,8,8,8
3.46484,8,8,8
3.46875,8,8,8
3.47266,8,8,8
3.47656,8,8,8
3.48047,8,8,8
3.48438,8,8,8
3.48828,8,8,8
3.49219,8,8,8
3.49609,8,8,8
3.5,8,8,8
3.50391,9,9,8
3.50781,8,8,8
3.51172,8,8,8
3.51562,8,8,8
3.51953,8,8,8
3.52344,8,8,8
3.52734,8,8,8
3.53125,9,9,8
3.53516,8,8,8
3.53906,8,8,8
